family_type,key,count,share
mql_skeleton_signature,sha256:ae79bb61248395f51e7acc50d28b7aab59d9ed7dd5ba8d1de739c3d25be98cb8,7,0.005785
mql_skeleton_signature,sha256:20b0d38385a03ff3276fa678f799a6e693c5889dbb4f4531ce63fd208cf2ee2a,6,0.004959
mql_skeleton_signature,sha256:0d2066924b28da1fe056fdfaf7a9de7095b0f67da5ebc4d5d4cc1a24bbd02c70,6,0.004959
mql_skeleton_signature,sha256:a539ca6bead6b6e685ee7dd1322e5fbbed3dc13ac67216637f5c9f865883c269,6,0.004959
mql_skeleton_signature,sha256:2b4c69d0fc2fc0bebfa1bd43646589b1370ac8c8981b077ce1db4e4f0a6d6fcf,5,0.004132
mql_skeleton_signature,sha256:0b9b6992e26132894786d5f5d8e90cf3c1458ba16be3a25e91973346f72fe1f7,5,0.004132
mql_skeleton_signature,sha256:624ccc062a110e966c54395cb8e6e0c3ca85d583ae75f3ee90855960e5a9399d,5,0.004132
mql_skeleton_signature,sha256:0e56dad07d3379419deeac666281af07fc162cdc1f51b29425fe33a6fcd8a024,5,0.004132
mql_skeleton_signature,sha256:d0c5780b04f930f4cf2f18f5e8dd16b60dce685c39dc03848e5d50ccd91ca01e,4,0.003306
mql_skeleton_signature,sha256:dc3081875b5fee072cf470296e7232e1a6d26f5a9bd2a6004cdc8957aa0839ab,4,0.003306
mql_skeleton_signature,sha256:3fe8d6d2719d6269f91d355ee4c4f52d7013c78ba5f716c86c4ca4bb1f4f9cf3,4,0.003306
mql_skeleton_signature,sha256:6899f3bb7d6eff90f3c863370e1f67b758b9cc8b52de67a3ba7f87836f1c6a58,4,0.003306
mql_skeleton_signature,sha256:5418913106873527631a3da4fb8380b7d3ef5aa1439d1aab8eb387db801124e6,4,0.003306
mql_skeleton_signature,sha256:16f62dcd29a33e090de5ce579105149eac9a17313090f4de9fb03a9afd0fd28b,4,0.003306
mql_skeleton_signature,sha256:80ae7ab5484ea8d4a38c419fae65bff1df538d8174504dc74fcbfb790f46f15d,4,0.003306
mql_skeleton_signature,sha256:56b446d6582c31dfc56c516565306fc9674485f6e63e70dac912e33145a5ee23,4,0.003306
mql_skeleton_signature,sha256:af6167dfe03582bca6af02e8f4052578e1198cb2224debb2e02ff391f22187d0,4,0.003306
mql_skeleton_signature,sha256:430861be70705a3aeae1d8cdc03e73e666ece4b8487e33c57ffac41fb4f1fbd3,3,0.002479
mql_skeleton_signature,sha256:66223cac6cb1f7e0ce339ce85d45828c92cf8137449fb38ed5122c11ce8b8a10,3,0.002479
mql_skeleton_signature,sha256:cf770e4d811e4735355b07ddf641f55895a7068deb96a679804c23c57b998f0a,3,0.002479
mql_skeleton_signature,sha256:68543dc83708309cd0ac02369b03d65e3b9fe7a3241c08a4775cfb4897694bcd,3,0.002479
mql_skeleton_signature,sha256:3e54d614e99a00331b559f11d9e54ebfa2f429633206d53993daff7d950d71af,3,0.002479
mql_skeleton_signature,sha256:ca304b86f1bb748a32141397924025e40f80e53f8487dd3d26e6f19f6f4ee89d,3,0.002479
mql_skeleton_signature,sha256:5f72223e0132e76b41d56bacc38ff4244a77cf85cfcfdb51eb4f90506f7c7543,3,0.002479
mql_skeleton_signature,sha256:6b98378fc3dda95acbf2d77e0db35a6b353422d0e6b3bc3534ec5be23201a8b7,3,0.002479
mql_skeleton_signature,sha256:8a521e6307716058529a6c37e2b7d2a824f0dd42827944627ae801e89d8ba02b,3,0.002479
mql_skeleton_signature,sha256:0a88e760b6ee4ed0b9fc38895a355e2361059255de8c6b0a9460b9b070108c11,3,0.002479
mql_skeleton_signature,sha256:ff304156e19ada62991a73cf34cfb4598570dd837b93850b3fb581d51dc390c0,3,0.002479
mql_skeleton_signature,sha256:2d918d9bb2bda8f3b78c8b8d24cc03d75e604e7e5970e5feee31464f16f32a4d,3,0.002479
mql_skeleton_signature,sha256:d42fc35ac6d93a757a157163367617846ae399e5253746b245d6e7bec086c75f,3,0.002479
mql_skeleton_signature,sha256:ea438a2b45a8c135fd76820317935e67fad3b8f93626ff2f3d6b16d7445fbb44,3,0.002479
mql_skeleton_signature,sha256:7573e635b01c720d2d5f12c081fd14a651265c7f9be885cd034a2d9702d8578a,3,0.002479
mql_skeleton_signature,sha256:a23b781d41d5dfe0f56265974d72d4e7c9d6981c8f4c17cb3f13d4fed3d91274,3,0.002479
mql_skeleton_signature,sha256:78014832d031113c9166f6d285229cd9ff348829518b15c4a659d131876709f7,3,0.002479
mql_skeleton_signature,sha256:de42fdfda560d9b9fd2eaf27cb466d73a20e0057a330bdf0e55ccff7f83261bd,3,0.002479
mql_skeleton_signature,sha256:ceb17f0937915f0afe3edf244cc7ccd25b722c5d18388e05165be524293a5d1c,3,0.002479
